start_time,end_time,activity_time,waiting_time,hora_llegada,SLA,turno
5.961360717405528,14.806269567857875,8.844908850452347,0.0,0,1,morning
7.646698130783182,14.855435144022088,7.208737013238905,0.0,0,1,morning
8.933118531368436,18.911490786259126,9.97837225489069,0.0,0,1,morning
14.806269567857875,27.57230725030611,12.766037682448234,1.8659826274160025,0,1,morning
19.295641617879085,25.75039943984208,6.454757821962995,0.0,0,1,morning
22.04612929677397,30.512660209003514,8.466530912229542,0.0,0,1,morning
41.80103964084756,51.89129577122637,10.090256130378805,0.0,0,1,morning
47.574251009606186,59.94223025649173,12.367979246885549,0.0,0,1,morning
50.85285197666053,61.857334069032134,11.004482092371603,0.0,0,1,morning
53.341720487669285,64.18939796885675,10.847677481187462,0.0,0,1,morning
59.94223025649173,69.39688226586173,9.45465200937,4.498798517535455,0,1,morning
61.972531223994565,73.25278402492432,11.280252800929766,0.0,1,1,morning
64.85889210800971,77.74514484568033,12.886252737670617,0.0,1,1,morning
69.39688226586173,75.9199002435536,6.5230179776918655,4.23032616169003,1,1,morning
73.25278402492432,85.25053175729161,11.997747732367287,5.548371169685041,1,1,morning
75.9199002435536,85.67602376674613,9.756123523192525,1.518521188309947,1,1,morning
77.74514484568033,86.50419857144425,8.759053725763923,2.3362944873932747,1,1,morning
85.25053175729161,90.67986397665733,5.4293322193657145,8.877083269829669,1,1,morning
85.67602376674613,92.75760529233376,7.081581525587638,5.510931082640269,1,1,morning
86.50419857144425,101.79268220148806,15.28848363004381,2.5445126509920186,1,1,morning
90.67986397665733,99.09850115523257,8.418637178575239,1.6890877498867098,1,1,morning
98.4574717365649,106.08217114735555,7.624699410790661,0.0,1,1,morning
104.90249925316607,113.82412870568406,8.921629452517989,0.0,1,1,morning
109.62368113291626,117.92403615414163,8.300355021225371,0.0,1,1,morning
116.03233283207777,126.34811272327173,10.31577989119396,0.0,1,1,morning
117.98244942889575,132.59423614818667,14.611786719290906,0.0,1,1,morning
120.22787837745582,128.86380577170016,8.635927394244344,0.0,2,1,morning
126.34811272327173,136.7413736222928,10.393260899021062,4.824675547101478,2,1,morning
128.86380577170016,136.37035453268456,7.50654876098439,5.601693145283846,2,1,morning
132.59423614818667,147.21769051987246,14.623454371685803,4.347653861602851,2,1,morning
136.37035453268456,146.85430911752508,10.483954584840522,7.6406398476677,2,1,morning
136.7413736222928,144.37169765142943,7.630324029136643,5.168492054081469,2,1,morning
144.37169765142943,156.90841401621873,12.536716364789307,9.980647659668534,2,1,morning
146.85430911752508,160.35285551167559,13.498546394150518,9.060276792732424,2,1,morning
147.21769051987246,157.62958844855515,10.41189792868269,6.649506870798348,2,1,morning
156.90841401621873,163.54591709960897,6.6375030833902375,14.468499378643486,2,0,morning
157.62958844855515,173.2546681479881,15.625079699432932,12.410983295642438,2,0,morning
160.35285551167559,171.15900882536062,10.80615331368503,3.941399793245779,2,1,morning
170.8377814510737,184.23703054117334,13.39924909009963,0.0,2,1,morning
174.3219179293388,183.03531549922985,8.713397569891042,0.0,2,1,morning
179.21212300537707,188.26361053220785,9.051487526830774,0.0,2,1,morning
183.03531549922985,193.315296073026,10.27998057379614,3.208859345268536,2,1,morning
184.23703054117334,197.44652056534508,13.209490024171737,2.5021819424239027,3,1,morning
188.26361053220785,198.62755184452402,10.363941312316182,3.849529922036595,3,1,morning
194.47520707508167,201.7788747255756,7.303667650493942,0.0,3,1,morning
197.44652056534508,208.1234191022291,10.676898536884003,1.5298664367317372,3,1,morning
199.21554753781157,214.2443517663698,15.028804228558213,0.0,3,1,morning
220.4042390314295,230.57011546023207,10.165876428802575,0.0,3,1,morning
224.06872444027417,234.39747655668597,10.328752116411797,0.0,3,1,morning
228.81401483946104,236.1072640695672,7.293249230106172,0.0,3,1,morning
230.57011546023207,237.61173238817886,7.041616927946794,1.1133605208655126,3,1,morning
238.21005755927433,246.73641344149576,8.526355882221432,0.0,3,1,morning
242.82990989287526,252.04604423904226,9.216134346167006,0.0,4,1,afternoon
246.76794657269335,257.03151189568104,10.263565322987663,0.0,4,1,afternoon
248.8665058904814,259.29012538796565,10.42361949748426,0.0,4,1,afternoon
252.04604423904226,266.97140761452465,14.925363375482391,1.3666424427525214,4,1,afternoon
257.03151189568104,267.17931209235155,10.147800196670543,3.6540791435417646,4,1,afternoon
259.29012538796565,272.33885478865625,13.048729400690599,0.19515533369707327,4,1,afternoon
269.5104849087675,279.41264336573664,9.902158456969126,0.0,4,1,afternoon
273.0815457725609,287.4467799738056,14.365234201244672,0.0,4,1,afternoon
278.61447246259644,284.8795171632754,6.265044700678942,0.0,4,1,afternoon
283.0231527736888,291.6329619169423,8.609809143253495,0.0,4,1,afternoon
287.92601256553763,300.71191820155315,12.78590563601552,0.0,4,1,afternoon
293.54088150488826,303.12096293233253,9.580081427444247,0.0,4,1,afternoon
302.7775311284745,315.399861490663,12.622330362188496,0.0,5,1,afternoon
303.21183346126463,314.22235829794454,11.010524836679906,0.0,5,1,afternoon
310.4247358811754,323.092421848463,12.66768596728761,0.0,5,1,afternoon
314.22235829794454,325.87871912792843,11.656360829983875,2.4012589336405767,5,1,afternoon
315.399861490663,327.23410506284137,11.834243572178348,2.4990211225000394,5,1,afternoon
323.092421848463,337.61491849227565,14.522496643812623,5.943079923084213,5,1,afternoon
325.87871912792843,338.6756273637067,12.796908235778288,8.226337419807976,5,1,afternoon
328.4807275295525,341.30111621586633,12.820388686313818,0.0,5,1,afternoon
337.61491849227565,347.66609590050274,10.051177408227087,4.199968124733061,5,1,afternoon
339.8411603762365,348.4873830507332,8.646222674496672,0.0,5,1,afternoon
341.30111621586633,349.78098580398506,8.47986958811871,1.3786523487880231,5,1,afternoon
347.66609590050274,359.7312472353344,12.065151334831695,3.2312998932671917,5,1,afternoon
348.50329967445793,353.9388999023106,5.435600227852662,0.0,5,1,afternoon
349.78098580398506,356.99330487408355,7.212319070098497,0.41210795652079923,5,1,afternoon
353.9388999023106,361.7987825147414,7.859882612430798,3.739332851848644,5,1,afternoon
356.99330487408355,366.3930234333169,9.399718559233342,0.8478319678633852,5,1,afternoon
359.7312472353344,364.9108355842487,5.179588348914238,1.6665241020364192,5,1,afternoon
363.95251842119995,377.6507318632587,13.69821344205879,0.0,6,1,afternoon
367.9939984245779,379.6128498519308,11.618851427352892,0.0,6,1,afternoon
370.45688557291174,386.88067227403593,16.42378670112418,0.0,6,1,afternoon
383.41706185182784,396.4585896259084,13.04152777408056,0.0,6,1,afternoon
392.6324308366766,405.57057584866664,12.938145011990086,0.0,6,1,afternoon
394.84357606484343,412.39708906363654,17.553512998793128,0.0,6,1,afternoon
396.4585896259084,405.12838831506997,8.669798689161526,1.3921629706062504,6,1,afternoon
405.12838831506997,411.9953413692813,6.866953054211334,8.244412750952392,6,1,afternoon
405.57057584866664,415.0062322177466,9.435656369079934,6.1475686696717275,6,1,afternoon
411.9953413692813,420.13165396680125,8.136312597519952,6.46913231734834,6,1,afternoon
432.3897781439534,441.76784596655614,9.378067822602763,0.0,7,1,afternoon
434.58939997157347,442.28024254883286,7.690842577259398,0.0,7,1,afternoon
441.77834495645897,453.3037658683799,11.525420911920953,0.0,7,1,afternoon
446.2752293188103,457.6435523405602,11.368323021749848,0.0,7,1,afternoon
452.1586682106102,462.0915877349498,9.93291952433963,0.0,7,1,afternoon
453.3037658683799,464.1138613988113,10.810095530431402,0.32586653531302545,7,1,afternoon
457.6435523405602,467.2946572888722,9.65110494831205,2.1208803580032622,7,1,afternoon
462.0915877349498,474.16002446885676,12.06843673390695,5.191097444714785,7,1,afternoon
464.1138613988113,474.2894876795333,10.175626280721973,5.109543174597604,7,1,afternoon
467.2946572888722,476.65258330786804,9.357926018995867,4.691567360480406,7,1,afternoon
474.16002446885676,486.7762182624375,12.616193793580736,6.064504804756211,7,1,afternoon
474.2894876795333,487.9948944574527,13.705406777919414,5.634232298735867,7,1,afternoon
476.65258330786804,490.62309149172347,13.970508183855456,7.295871548515493,7,1,afternoon
486.7762182624375,494.5831843295889,7.806966067151389,15.476609565976048,7,0,afternoon
487.9948944574527,496.7441909036126,8.749296446159903,11.278179417486797,7,0,afternoon
